ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
Tsubulata_000800	0.356729667	4.482252	0
Tsubulata_000801	0.992534667	2.25991	0
Tsubulata_000802	0	0	0
Tsubulata_000803	0	0.0656915	0
Tsubulata_000804	0	0	0
Tsubulata_000805	9.498965	9.081232	8.608915
Tsubulata_000806	21.25508567	28.8037485	29.77031133
Tsubulata_000810	9.508337667	1.5622335	2.534759667
Tsubulata_000814	2.480157667	4.675031	3.623950333
Tsubulata_000815	1.147912	1.759365	2.670146333
Tsubulata_000816	1.441130667	3.659598	2.033926667
Tsubulata_000817	0.139762	0.1242325	0.116231
Tsubulata_000819	0.086530667	0	0
Tsubulata_000820	0	0	0
Tsubulata_000823	0	0	0
Tsubulata_000824	0	0	0
Tsubulata_000826	0	0	0
Tsubulata_000829	0.140869	0	0.038570667
Tsubulata_000830	0	0	0
Tsubulata_000837	0	0	0
Tsubulata_000839	0	0	0
Tsubulata_000840	0	0	0
Tsubulata_000844	55.08759967	28.0239765	17.667174
Tsubulata_000845	7.372696	11.308878	9.192449
Tsubulata_000847	6.629399333	8.439602	1.889624667
Tsubulata_000848	171.9134977	128.725788	236.127421
Tsubulata_000849	53.91489933	54.956646	43.66476933
Tsubulata_000854	74.52016467	98.3147585	67.63777167
Tsubulata_000858	26.79066267	31.9427975	19.93997833
Tsubulata_000862	0	0	0
Tsubulata_000863	0	0	0
Tsubulata_000864	7.928155667	12.413462	9.092665333
Tsubulata_000865	49.676399	75.7652665	75.94644433
Tsubulata_000867	26.20926667	22.439247	27.99927033
Tsubulata_000869	0	0	0
Tsubulata_000870	14.43574233	13.2220355	18.286196
Tsubulata_000872	0	0	0
Tsubulata_000873	2.783049667	0.992608	0.718173
Tsubulata_000875	0	0	0.134285333
Tsubulata_000877	3.530833	3.2176625	15.55035533
Tsubulata_000880	0	0	0
Tsubulata_000882	0	0	0
Tsubulata_000884	0	0	0
Tsubulata_000889	3.968645333	3.402778	2.140928667
Tsubulata_000891	3.214899333	7.1243475	2.912969
Tsubulata_000896	0	0	0
Tsubulata_000898	0	0	0
Tsubulata_000899	0	0	0
Tsubulata_000901	0	0	0
Tsubulata_000904	13.823751	17.7011775	11.786884
Tsubulata_000905	0	0	0
Tsubulata_000906	0.643670333	0.049257	0.246202333
Tsubulata_000907	10.58763333	12.7937665	10.37939433
Tsubulata_000908	5.285846333	7.335636	3.895348
Tsubulata_000915	7.951055333	6.288086	12.924313
Tsubulata_000916	1.892218667	1.4394535	1.767861333
Tsubulata_000919	22.65389233	33.213802	23.321987
Tsubulata_000921	19.64999267	23.7324345	17.62706933
Tsubulata_000922	10.561776	13.1159895	9.594748
Tsubulata_000923	10.293519	14.3344925	9.179632333
Tsubulata_000924	2.429860333	11.3916375	1.767166667
Tsubulata_000925	7.587554667	9.2620925	8.056015
Tsubulata_000929	0	0	0
Tsubulata_000932	3.043836667	4.974198	5.376086333
Tsubulata_000933	15.365511	13.345102	11.37260767
Tsubulata_000934	6.916168667	6.1259985	3.049177
Tsubulata_000935	10.27100633	12.3050805	9.434084667
Tsubulata_000939	7.985050667	9.0077085	3.712946667
Tsubulata_000940	11.94149167	27.2780725	20.87056167
Tsubulata_000941	34.238661	32.7055465	36.466761
Tsubulata_000945	21.59306567	23.1305295	22.94625533
Tsubulata_000946	4.310094	9.7220365	5.593275667
Tsubulata_000947	6.615333667	11.9616985	4.703568333
Tsubulata_000949	59.35622167	75.2004795	129.5551427
Tsubulata_000950	89.17049633	102.707836	75.98158233
Tsubulata_000951	2.928344667	4.1249105	3.745532333
Tsubulata_000952	0.027077667	0.130779	0.087676333
Tsubulata_000953	34.02393033	42.8459935	33.36464233
Tsubulata_000954	0	0	0
Tsubulata_000958	0.330699	0.7374525	0.689716
Tsubulata_000969	62.13267733	48.0125845	57.58750667
Tsubulata_000970	6.452	9.0586875	5.022718
Tsubulata_000971	9.066657333	15.196627	7.223550333
Tsubulata_000973	0	0	0
Tsubulata_000974	0	0	0
Tsubulata_000975	0	0	0
Tsubulata_000980	117.2091547	106.6606905	98.1617
Tsubulata_000981	137.831121	125.7162175	93.080737
Tsubulata_000982	270.891312	172.99601	225.539978
