"feature"	"id"	"pval"	"qval"
"321"	"gene"	"gene-Tsubulata_000514"	0.467851306048924	0.629325298685251
"322"	"gene"	"gene-Tsubulata_000516"	0.0170479268494195	0.072589946634192
"323"	"gene"	"gene-Tsubulata_000518"	0.40974559466771	0.580595244786338
"324"	"gene"	"gene-Tsubulata_000524"	0.0334252322097246	0.112062460905912
"325"	"gene"	"gene-Tsubulata_000528"	0.954500269356735	0.979943583118614
"326"	"gene"	"gene-Tsubulata_000529"	0.0190621154306914	0.0780351860747928
"327"	"gene"	"gene-Tsubulata_000534"	0.0021492023184011	0.0221404802962952
"328"	"gene"	"gene-Tsubulata_000538"	NA	NA
"329"	"gene"	"gene-Tsubulata_000539"	0.841119129453393	0.908694740008293
"330"	"gene"	"gene-Tsubulata_000540"	0.960756667274743	0.979943583118614
"331"	"gene"	"gene-Tsubulata_000542"	0.60085520815097	0.730857475119056
"332"	"gene"	"gene-Tsubulata_000543"	0.1121956611989	0.254856413628101
"333"	"gene"	"gene-Tsubulata_000544"	0.00260054552331201	0.0244474602469565
"334"	"gene"	"gene-Tsubulata_000545"	0.716848468021502	0.820933643810924
"335"	"gene"	"gene-Tsubulata_000546"	0.0642501572428635	0.175154519320666
"336"	"gene"	"gene-Tsubulata_000547"	0.00116498946569665	0.016120685913442
"337"	"gene"	"gene-Tsubulata_000552"	0.733956584051347	0.833559013383848
"338"	"gene"	"gene-Tsubulata_000553"	0.709200626920873	0.815427079623165
"339"	"gene"	"gene-Tsubulata_000554"	0.214057400977191	0.382663882841804
"340"	"gene"	"gene-Tsubulata_000556"	0.0741232687140816	0.19310553067255
"341"	"gene"	"gene-Tsubulata_000557"	0.166532761997087	0.331201292335351
"342"	"gene"	"gene-Tsubulata_000560"	0.0789010000707001	0.200446021023044
"343"	"gene"	"gene-Tsubulata_000561"	0.0316896172529277	0.108322376665641
"344"	"gene"	"gene-Tsubulata_000563"	0.0732106898757983	0.191427471156718
"345"	"gene"	"gene-Tsubulata_000564"	0.0744470955112956	0.193780594772635
"346"	"gene"	"gene-Tsubulata_000565"	0.363884276079521	0.53856029590933
"347"	"gene"	"gene-Tsubulata_000566"	0.196932051419594	0.364063802994742
"348"	"gene"	"gene-Tsubulata_000568"	0.711922260806442	0.817231504807162
"349"	"gene"	"gene-Tsubulata_000569"	0.00129671119821051	0.017000783964531
"350"	"gene"	"gene-Tsubulata_000570"	6.89036118387554e-05	0.0050759684428972
"351"	"gene"	"gene-Tsubulata_000574"	0.915405010813354	0.955419229647075
"352"	"gene"	"gene-Tsubulata_000575"	0.0474691733812713	0.143165551829229
"353"	"gene"	"gene-Tsubulata_000576"	0.518630743152483	0.674226398328703
"354"	"gene"	"gene-Tsubulata_000582"	0.0547792313143514	0.15737649439554
"355"	"gene"	"gene-Tsubulata_000584"	NA	NA
"356"	"gene"	"gene-Tsubulata_000585"	0.185710251368286	0.349827451674431
"357"	"gene"	"gene-Tsubulata_000587"	0.575793384135416	0.710054853236168
"358"	"gene"	"gene-Tsubulata_000590"	0.722734121951019	0.825615739856262
"359"	"gene"	"gene-Tsubulata_000591"	0.312811260922352	0.491993043287283
